,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1716,Pasquale Mazzocchi,it ITA,DF,Salernitana,it Serie A,26,1995,14.1,2,0,0,18,7,1,79,11,19,0,0,0,62,11,9,55.0,Matches,eb0ec070
1717,Kevin Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,26,1995,15.5,4,0,0,24,21,2,67,35,20,0,1,0,109,31,23,57.4,Matches,493924a7
1718,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,22,1998,33.6,10,0,0,28,53,39,68,5,8,4,0,0,63,4,10,28.6,Matches,42fd9c7f
1719,Ibrahima Mbaye,sn SEN,DF,Bologna,it Serie A,26,1994,1.2,0,0,0,3,1,1,1,1,1,0,1,0,3,3,4,42.9,Matches,cfbf9881
1720,Amadou Mbengue,sn SEN,DFMF,Metz,fr Ligue 1,19,2002,6.8,4,0,0,12,1,0,0,10,10,0,0,0,43,5,7,41.7,Matches,14d2670e
1721,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,21,1999,32.3,4,0,0,20,38,13,75,11,16,0,0,0,130,29,103,22.0,Matches,6afaebf2
1722,Jason Mbock,fr FRA,FW,Angers,fr Ligue 1,21,1999,0.2,1,0,0,0,2,1,1,0,0,0,0,0,1,0,2,0.0,Matches,890bc029
1723,Jordi Mboula,es ESP,FW,Mallorca,es La Liga,22,1999,4.8,2,0,0,6,9,5,12,3,2,0,1,0,20,10,9,52.6,Matches,4887118d
1724,Moustapha Mbow,sn SEN,DF,Reims,fr Ligue 1,21,2000,1.0,0,0,0,0,0,0,0,1,6,0,0,0,4,1,0,100.0,Matches,3f3a2cba
1725,Nathanael Mbuku,fr FRA,FWMF,Reims,fr Ligue 1,19,2002,15.8,1,0,0,10,39,2,35,11,13,0,0,0,67,10,14,41.7,Matches,46750e9c
1726,James McArthur,sct SCO,MF,Crystal Palace,eng Premier League,33,1987,16.0,4,0,0,24,20,3,18,30,23,0,0,0,135,22,31,41.5,Matches,cee31595
1727,James Mcatee,eng ENG,MFFW,Manchester City,eng Premier League,18,2002,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,96593e89
1728,Kasey McAteer,eng ENG,FW,Leicester City,eng Premier League,19,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,b2c66859
1729,Liam McCarron,sct SCO,FW,Leeds United,eng Premier League,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,076bb352
1730,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,31,1989,17.0,1,0,0,0,1,0,0,0,0,0,0,0,9,6,0,100.0,Matches,36c2ca73
1731,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,26,1994,34.3,8,0,0,57,81,0,110,35,64,0,0,0,200,22,17,56.4,Matches,90f91999
1732,Weston McKennie,us USA,MF,Juventus,it Serie A,22,1998,15.2,1,0,0,19,4,0,12,23,11,0,0,0,84,29,24,54.7,Matches,01c3aff5
1733,Stuart McKinstry,sct SCO,MF,Leeds United,eng Premier League,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,1000a059
1734,Kenny McLean,sct SCO,MF,Norwich City,eng Premier League,29,1992,30.1,3,0,0,16,38,3,37,34,22,0,1,0,149,68,72,48.6,Matches,471f16b3
1735,Dwight McNeil,eng ENG,MF,Burnley,eng Premier League,21,1999,34.5,1,0,0,16,36,1,199,35,49,0,0,0,223,13,16,44.8,Matches,fc15fb84
1736,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,24,1996,26.5,9,0,0,55,33,1,13,31,33,0,1,0,171,67,34,66.3,Matches,d93c2511
1737,Gary Medel,cl CHI,DF,Bologna,it Serie A,33,1987,31.4,10,1,1,34,31,1,2,44,23,0,2,0,228,15,33,31.3,Matches,563a68ad
1738,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,22,1999,28.8,11,0,0,36,11,0,5,37,42,0,2,0,224,37,34,52.1,Matches,6f5ec8bb
1739,Nathan de Medina,be BEL,DF,Arminia,de Bundesliga,23,1997,8.6,2,0,0,14,9,0,5,10,10,0,0,0,43,8,14,36.4,Matches,d686dbc0
1740,Ben Mee,eng ENG,DF,Burnley,eng Premier League,31,1989,20.4,3,0,0,9,7,2,4,24,12,0,0,1,132,68,41,62.4,Matches,8df7a2fb
1741,Admir Mehmedi,ch SUI,DF,Wolfsburg,de Bundesliga,30,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,b500b384
1742,Hannibal Mejbri,tn TUN,FW,Manchester Utd,eng Premier League,18,2003,0.8,2,0,0,3,0,1,0,0,1,0,0,0,1,0,1,0.0,Matches,ca22ccb0
1743,Farid El Melali,dz ALG,FW,Angers,fr Ligue 1,24,1997,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,Matches,d21e361a
1744,Filippo Melegoni,it ITA,MFFW,Genoa,it Serie A,22,1999,10.9,1,0,0,15,20,2,34,11,12,0,0,0,72,5,20,20.0,Matches,6604165d
1745,Óscar Melendo,es ESP,MFFW,Espanyol,es La Liga,23,1997,11.0,0,0,0,9,37,0,4,1,5,0,0,0,56,6,15,28.6,Matches,379652be
1746,Gonzalo Melero,es ESP,MF,Levante,es La Liga,27,1994,18.8,5,0,0,20,27,2,3,7,16,0,0,0,96,25,31,44.6,Matches,3902e91b
1747,Birger Meling,no NOR,DF,Rennes,fr Ligue 1,26,1994,20.3,3,0,0,14,21,2,25,22,27,0,0,0,94,14,17,45.2,Matches,70c52749
1748,Arthur Melo,br BRA,MF,Juventus,it Serie A,24,1996,10.7,3,0,0,20,31,0,1,7,12,0,0,0,92,4,6,40.0,Matches,48b3dd60
1749,Memphis,nl NED,FW,Barcelona,es La Liga,27,1994,20.6,3,0,0,23,44,13,125,3,4,3,0,0,52,10,15,40.0,Matches,8f696594
1750,Houboulang Mendes,fr FRA,DF,Lorient,fr Ligue 1,23,1998,35.8,5,1,1,40,18,4,65,41,28,1,0,1,178,27,36,42.9,Matches,1545cf15
1751,Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,19,2002,18.4,3,0,0,19,24,1,39,21,29,0,0,0,109,10,11,47.6,Matches,f20e4cc9
1752,Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,30,1990,0.2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,100.0,Matches,6690ef25
1753,Thiago Mendes,br BRA,MFDF,Lyon,fr Ligue 1,29,1992,20.7,3,1,0,23,16,0,11,34,22,0,1,0,151,26,20,56.5,Matches,c6e5d20f
1754,Tomás Mendes,es ESP,MF,Alavés,es La Liga,16,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,45f771db
1755,Brais Méndez,es ESP,MF,Celta Vigo,es La Liga,24,1997,33.6,8,0,0,75,54,9,41,37,35,0,0,0,199,45,50,47.4,Matches,c9e39d91
1756,Édgar Méndez,es ESP,FWMF,Alavés,es La Liga,31,1990,17.9,6,0,0,50,31,15,59,4,14,0,0,0,73,34,37,47.9,Matches,aed746df
1757,Arial Mendy,sn SEN,DFFW,Clermont Foot,fr Ligue 1,26,1994,8.8,1,0,0,6,11,0,39,7,4,0,0,0,47,5,9,35.7,Matches,9f0f4b49
1758,Batista Mendy,fr FRA,MFDF,Angers,fr Ligue 1,21,2000,26.8,5,0,0,53,10,1,5,34,28,0,1,2,165,24,24,50.0,Matches,e472a6f6
1759,Benjamin Mendy,fr FRA,DF,Manchester City,eng Premier League,27,1994,0.9,0,0,0,2,0,0,9,0,2,0,0,0,5,0,3,0.0,Matches,5271c8f1
1760,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,29,1992,34.0,3,0,0,1,3,0,0,0,0,0,1,0,42,11,1,91.7,Matches,33887998
1761,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,26,1995,19.3,4,0,0,15,24,3,28,18,14,1,1,0,98,11,13,45.8,Matches,3cefcaef
1762,Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,29,1992,11.5,3,0,0,17,18,0,0,11,6,0,0,0,72,5,9,35.7,Matches,1598599e
1763,Gideon Mensah,gh GHA,DF,Bordeaux,fr Ligue 1,23,1998,13.4,1,1,0,16,4,2,54,16,24,0,2,0,105,16,9,64.0,Matches,9bdd8118
1764,Jorge Meré,es ESP,DF,Köln,de Bundesliga,24,1997,5.4,2,0,0,4,1,0,1,10,6,0,0,0,36,14,11,56.0,Matches,9f979eb2
1765,Alex Meret,it ITA,GK,Napoli,it Serie A,24,1997,6.9,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,,Matches,9413b19f
1766,Fran Mérida,es ESP,MF,Espanyol,es La Liga,31,1990,3.0,2,1,0,6,6,0,8,6,3,0,0,0,29,0,4,0.0,Matches,0e50f929
1767,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,25,1996,32.1,8,0,0,60,67,4,23,21,38,2,1,0,287,109,83,56.8,Matches,d080ed5e
1768,Quentin Merlin,fr FRA,DFMF,Nantes,fr Ligue 1,19,2002,21.4,0,0,0,10,4,1,137,27,28,0,0,0,145,10,24,29.4,Matches,0bfca6a1
1769,Martín Merquelanz,es ESP,FWMF,Rayo Vallecano,es La Liga,26,1995,1.9,0,0,0,2,2,0,12,0,1,0,0,0,7,3,4,42.9,Matches,ddd5348b
1770,Yıldırım Mert Çetin,tr TUR,MF,Hellas Verona,it Serie A,24,1997,0.5,0,0,0,0,1,0,1,0,0,0,0,0,6,2,2,50.0,Matches,c730da00
1771,Dries Mertens,be BEL,FWMF,Napoli,it Serie A,34,1987,15.4,2,0,0,26,22,5,22,9,7,2,0,0,51,3,8,27.3,Matches,89b2c8a9
1772,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,21,2000,37.6,2,0,0,0,8,0,0,0,1,0,0,0,25,13,2,86.7,Matches,6b625ac2
1773,Lionel Messi,ar ARG,FWMF,Paris S-G,fr Ligue 1,34,1987,23.9,0,0,0,6,35,10,32,4,3,0,0,0,55,4,3,57.1,Matches,d70ce98e
1774,Junior Messias,br BRA,FWMF,Milan,it Serie A,30,1991,15.9,2,0,0,21,24,3,52,17,18,0,1,0,88,28,33,45.9,Matches,f49c4ae9
1775,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,29,1991,15.6,4,0,0,27,7,1,45,12,19,0,0,0,121,24,10,70.6,Matches,e162b013
1776,Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,32,1988,13.6,2,0,0,4,7,0,6,21,10,0,1,0,93,22,25,46.8,Matches,ce492295
1777,Marco Meyerhöfer,de GER,DF,Greuther Fürth,de Bundesliga,25,1995,25.3,0,0,0,16,25,1,43,47,35,0,1,1,141,23,24,48.9,Matches,0b104510
1778,Matt Miazga,us USA,DF,Alavés,es La Liga,26,1995,9.3,2,0,0,6,2,0,0,11,7,0,0,0,35,32,8,80.0,Matches,9fc0f253
1779,Kingsley Michael,ng NGA,MF,Bologna,it Serie A,21,1999,0.8,0,0,0,0,1,0,0,1,1,0,0,0,5,0,3,0.0,Matches,e63e122d
1780,Sven Michel,de GER,FW,Union Berlin,de Bundesliga,31,1990,3.8,2,0,0,12,4,3,8,1,6,0,0,0,16,13,21,38.2,Matches,1e274a0a
1781,Edouard Michut,fr FRA,MF,Paris S-G,fr Ligue 1,18,2003,0.8,0,1,0,2,4,0,0,1,0,0,0,0,5,0,1,0.0,Matches,fe6c1add
1782,Miguel,es ESP,FWMF,Alavés,es La Liga,21,1999,9.2,2,0,0,19,20,5,6,1,3,1,0,0,32,14,41,25.5,Matches,6763373d
1783,Valentin Mihaila,ro ROU,MFFW,Atalanta,it Serie A,21,2000,0.8,0,0,0,2,0,0,3,0,1,0,0,0,4,1,4,20.0,Matches,81a4c239
1784,Mikael,br BRA,FWMF,Salernitana,it Serie A,22,1999,1.0,0,0,0,3,2,0,0,0,1,0,0,0,4,6,7,46.2,Matches,33502726
1785,Hilmir Mikaelsson,is ISL,FW,Venezia,it Serie A,17,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,Matches,5add9b29
1786,Georges Mikautadze,ge GEO,FW,Metz,fr Ligue 1,20,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,4788cb6b
1787,William Mikelbrencis,fr FRA,DF,Metz,fr Ligue 1,17,2004,6.8,0,0,0,13,2,0,23,5,5,0,0,0,42,1,7,12.5,Matches,14df1d7f
1788,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,23,1997,32.5,10,1,1,48,21,0,2,39,32,0,1,0,172,98,32,75.4,Matches,bee704fc
1789,Arkadiusz Milik,pl POL,FW,Marseille,fr Ligue 1,27,1994,15.7,1,0,0,19,8,8,5,3,2,0,0,0,22,21,27,43.8,Matches,85613cf0
1790,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,26,1995,34.4,6,1,1,56,45,4,45,34,44,0,0,0,200,100,69,59.2,Matches,4e6dbac4
1791,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,24,1997,27.0,3,0,0,2,2,0,0,0,0,0,2,0,32,3,1,75.0,Matches,9fa26bc2
1792,Éder Militão,br BRA,DF,Real Madrid,es La Liga,23,1998,33.7,5,0,0,38,39,1,11,52,32,1,0,0,204,83,38,68.6,Matches,2784f898
1793,Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,30,1991,8.6,1,0,0,15,10,0,43,11,9,0,1,1,58,13,6,68.4,Matches,2ce2508a
1794,Luis Milla,es ESP,MF,Granada,es La Liga,26,1994,30.8,4,0,0,26,64,1,132,25,29,0,0,0,217,30,30,50.0,Matches,19c36442
1795,Pere Milla,es ESP,MFFW,Elche,es La Liga,28,1992,18.3,4,0,0,17,50,9,13,5,15,0,1,0,104,31,43,41.9,Matches,335039a2
1796,Enzo Millot,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.6,0,0,0,2,1,0,3,1,0,0,0,0,4,4,1,80.0,Matches,f76022e7
1797,James Milner,eng ENG,MFDF,Liverpool,eng Premier League,35,1986,9.5,2,0,0,17,14,0,43,17,16,0,0,0,72,13,10,56.5,Matches,2f90f6b8
1798,Santi Mina,es ESP,FW,Celta Vigo,es La Liga,25,1995,26.3,4,0,0,53,39,10,12,6,17,2,0,0,105,126,154,45.0,Matches,0b90bb97
1799,Yerry Mina,co COL,DF,Everton,eng Premier League,26,1994,9.4,3,0,0,5,9,1,3,11,10,0,0,0,45,30,16,65.2,Matches,6d5701f2
1800,Takumi Minamino,jp JPN,FWMF,Liverpool,eng Premier League,26,1995,2.1,1,0,0,4,4,0,0,1,2,0,0,0,13,1,5,16.7,Matches,f833a830
1801,Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,28,1993,35.4,11,0,0,27,24,1,4,46,12,0,1,0,191,81,47,63.3,Matches,8397a50c
1802,Óscar Mingueza,es ESP,DF,Barcelona,es La Liga,22,1999,9.9,2,0,0,12,4,1,32,9,11,0,0,0,45,9,6,60.0,Matches,056269d7
1803,Rafa Mir,es ESP,FW,Sevilla,es La Liga,24,1997,20.1,6,0,0,32,18,23,9,0,3,0,0,0,49,58,52,52.7,Matches,bbf5c11b
1804,Jorge Miramón,es ESP,DF,Levante,es La Liga,32,1989,22.0,5,0,0,31,23,0,49,35,19,0,0,0,147,18,23,43.9,Matches,7f4c7c9f
1805,Aleksei Miranchuk,ru RUS,MFFW,Atalanta,it Serie A,25,1995,8.6,0,0,0,14,19,3,17,1,7,0,0,0,36,9,14,39.1,Matches,a9aa0d1d
1806,Juan Miranda,es ESP,DF,Betis,es La Liga,21,2000,8.7,3,0,0,13,13,0,28,15,11,0,0,0,36,12,18,40.0,Matches,ead61f73
1807,Fabio Miretti,it ITA,MF,Juventus,it Serie A,17,2003,3.6,0,0,0,4,4,0,6,2,2,0,0,0,18,3,5,37.5,Matches,34693494
1808,Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,21,1999,34.5,1,0,0,15,14,2,62,41,57,1,0,0,237,29,32,47.5,Matches,5cbd1eb0
1809,Stefan Mitrović,rs SRB,DF,Getafe,es La Liga,31,1990,29.6,8,1,0,18,4,0,0,22,8,0,0,0,106,56,30,65.1,Matches,e6777e6b
1810,Maximilian Mittelstädt,de GER,DFFW,Hertha BSC,de Bundesliga,24,1997,16.6,3,0,0,20,36,1,85,46,33,0,1,0,112,23,27,46.0,Matches,88d4144a
1811,Henrikh Mkhitaryan,am ARM,MFFW,Roma,it Serie A,32,1989,27.7,4,1,1,41,51,5,46,22,29,1,0,0,195,13,15,46.4,Matches,dd0daf32
1812,Jakub Moder,pl POL,MF,Brighton,eng Premier League,22,1999,18.9,1,0,0,19,11,0,45,10,25,0,0,0,107,25,37,40.3,Matches,f230bc30
1813,Anthony Modeste,fr FRA,FW,Köln,de Bundesliga,33,1988,29.0,4,0,0,38,33,36,12,4,6,1,0,0,48,93,85,52.2,Matches,34e4343c
1814,Marco Modolo,it ITA,DF,Venezia,it Serie A,32,1989,4.4,2,0,0,6,3,0,0,4,3,0,0,0,19,9,7,56.3,Matches,fdcdb521
1815,Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,35,1985,22.6,4,0,0,24,32,1,48,20,10,0,0,0,123,6,14,30.0,Matches,6025fab1
1816,Terem Moffi,ng NGA,FW,Lorient,fr Ligue 1,22,1999,30.1,1,0,0,24,18,16,7,4,10,1,0,0,72,45,84,34.9,Matches,065dc209
1817,Kevin Möhwald,de GER,MF,Union Berlin,de Bundesliga,28,1993,3.9,2,0,0,6,4,2,7,3,1,0,0,0,30,3,3,50.0,Matches,a5ce09f2
1818,Dion Moise Sahi,ci CIV,FWMF,Strasbourg,fr Ligue 1,19,2001,1.4,0,0,0,1,4,0,1,1,0,0,0,0,7,1,4,20.0,Matches,cdc4458b
1819,Johan Mojica,co COL,DF,Elche,es La Liga,28,1992,31.7,4,1,0,32,50,4,158,25,25,0,0,0,234,28,21,57.1,Matches,608f2092
1820,Clinton Mola,eng ENG,DF,Stuttgart,de Bundesliga,20,2001,1.3,0,0,0,0,0,0,1,3,1,0,0,0,4,5,4,55.6,Matches,29ddfb9c
1821,Jorge Molina,es ESP,FW,Granada,es La Liga,39,1982,21.8,2,0,0,19,39,11,9,6,2,0,0,0,47,89,93,48.9,Matches,43f71e77
1822,Nahuel Molina,ar ARG,DF,Udinese,it Serie A,23,1998,29.3,7,1,1,31,16,1,117,22,24,0,0,0,158,10,19,34.5,Matches,23610943
1823,Cristian Molinaro,it ITA,DF,Venezia,it Serie A,38,1983,6.1,0,0,0,7,8,1,16,6,9,0,0,0,22,4,2,66.7,Matches,1c8c5aed
1824,Florent Mollet,fr FRA,FWMF,Montpellier,fr Ligue 1,29,1991,29.2,6,0,0,34,50,10,105,24,22,0,0,0,132,13,24,35.1,Matches,7e82a78f
1825,Jon Moncayola,es ESP,MF,Osasuna,es La Liga,23,1998,32.4,2,0,0,20,15,1,98,20,20,0,0,0,207,18,21,46.2,Matches,9939e168
1826,Monchu,es ESP,MF,Granada,es La Liga,21,1999,7.4,3,1,0,29,11,0,6,4,6,0,0,0,35,10,8,55.6,Matches,8ac501f5
1827,Thomas Monconduit,fr FRA,MF,Lorient,fr Ligue 1,30,1991,25.0,5,0,0,46,33,0,43,22,25,0,0,0,160,35,23,60.3,Matches,84d94b91
1828,Gonzalo Montiel,ar ARG,DF,Sevilla,es La Liga,24,1997,11.8,7,0,0,9,12,4,33,10,4,0,0,0,68,10,7,58.8,Matches,374d5158
1829,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,25,1996,34.0,1,0,0,0,5,0,0,1,0,0,0,0,30,11,2,84.6,Matches,c1d95617
1830,Ángel Montoro,es ESP,MF,Granada,es La Liga,33,1988,14.8,5,0,0,29,18,2,45,11,13,0,0,0,83,8,18,30.8,Matches,719384c1
1831,Martín Montoya,es ESP,DF,Betis,es La Liga,30,1991,5.8,2,0,0,8,10,0,13,11,12,0,0,0,27,10,6,62.5,Matches,5cec2487
1832,Wesley Moraes,br BRA,FW,Aston Villa,eng Premier League,24,1996,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,33.3,Matches,bfae110f
1833,Álvaro Morata,es ESP,FW,Juventus,it Serie A,28,1992,25.6,5,0,0,48,77,20,20,5,9,2,1,0,88,36,33,52.2,Matches,129af0db
1834,Jan Morávek,cz CZE,MF,Augsburg,de Bundesliga,31,1989,5.2,1,0,0,5,2,0,2,6,6,0,0,0,32,9,13,40.9,Matches,e7d22eae
1835,Jon Morcillo,es ESP,MFFW,Athletic Club,es La Liga,22,1998,0.6,2,0,0,2,1,0,7,0,0,0,0,0,4,0,0,,Matches,b7d7f3bf
1836,Jérémy Morel,mg MAD,DF,Lorient,fr Ligue 1,37,1984,6.7,0,0,0,4,5,0,1,7,9,0,0,0,37,9,9,50.0,Matches,e97150c0
1837,Alberto Moreno,es ESP,MFDF,Villarreal,es La Liga,29,1992,13.6,3,0,0,20,21,6,47,27,7,0,2,0,65,7,10,41.2,Matches,11b9265b
1838,Álex Moreno,es ESP,DF,Betis,es La Liga,28,1993,26.7,3,1,0,33,38,3,84,34,40,1,0,0,145,24,34,41.4,Matches,16e9d0ea
1839,Gerard Moreno,es ESP,FW,Villarreal,es La Liga,29,1992,13.2,2,0,0,11,14,8,12,6,2,1,0,0,33,18,18,50.0,Matches,81f0781e
1840,Tete Morente,es ESP,MF,Elche,es La Liga,24,1996,18.1,4,0,0,32,22,8,74,12,14,0,0,0,90,22,21,51.2,Matches,004d185e
1841,Ilaix Moriba,gn GUI,MF,Valencia,es La Liga,18,2003,9.1,9,1,1,21,25,0,3,12,18,0,0,0,51,14,21,40.0,Matches,f4c69aa6
1842,Ilaix Moriba,gn GUI,MF,RB Leipzig,de Bundesliga,18,2003,0.4,0,0,0,1,3,0,0,1,0,0,0,0,4,0,2,0.0,Matches,f4c69aa6
1843,Manu Morlanes,es ESP,MF,Espanyol,es La Liga,22,1999,12.7,6,1,0,13,11,0,6,13,15,0,0,0,78,17,24,41.5,Matches,a0255c67
1844,Raúl Moro,es ESP,FW,Lazio,it Serie A,18,2002,2.2,0,0,0,0,0,0,2,0,3,0,0,0,6,0,0,,Matches,919dd4b1
1845,Loren Morón,es ESP,FWMF,Espanyol,es La Liga,27,1993,6.3,0,0,0,10,15,7,5,2,4,0,0,0,15,19,29,39.6,Matches,3aa4a3be
1846,Loren Morón,es ESP,FW,Betis,es La Liga,27,1993,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,3aa4a3be
1847,Tyler Morton,eng ENG,MF,Liverpool,eng Premier League,18,2002,0.7,1,0,0,1,0,0,0,3,0,0,0,0,5,2,3,40.0,Matches,2bc28bb9
1848,Cristhian Mosquera,co COL,DF,Valencia,es La Liga,17,2004,2.4,1,0,0,4,0,0,0,3,2,0,0,0,12,1,3,25.0,Matches,dc1ce4f5
1849,Lebo Mothiba,za RSA,FWMF,Troyes,fr Ligue 1,25,1996,5.8,1,0,0,10,16,4,1,2,4,1,0,0,15,8,13,38.1,Matches,3eaf8817
1850,Lebo Mothiba,za RSA,FW,Strasbourg,fr Ligue 1,25,1996,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,3eaf8817
1851,Andrei Motoc,ro ROU,DF,Salernitana,it Serie A,19,2002,1.0,0,0,0,0,2,0,0,2,1,0,0,0,4,0,1,0.0,Matches,b64073a0
1852,Baptiste Mouazan,fr FRA,MF,Lorient,fr Ligue 1,19,2001,1.1,0,0,0,3,0,0,2,1,3,0,0,0,5,0,2,0.0,Matches,81ac108d
1853,Aimen Moueffek,fr FRA,MF,Saint-Étienne,fr Ligue 1,20,2001,4.8,1,0,0,5,8,0,3,2,4,0,0,0,40,8,10,44.4,Matches,2591b066
1854,Youssoufa Moukoko,de GER,FWMF,Dortmund,de Bundesliga,16,2004,2.5,1,0,0,5,5,5,0,3,0,0,0,0,6,0,3,0.0,Matches,6ce43701
1855,Harold Moukoudi,cm CMR,DF,Saint-Étienne,fr Ligue 1,23,1997,18.5,3,0,0,14,5,0,0,35,12,0,0,0,90,28,17,62.2,Matches,5f26e0c5
1856,Jessy Moulin,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7.0,3,1,1,1,2,0,0,1,0,0,0,0,8,1,1,50.0,Matches,28a65a2c
1857,Steve Mounié,bj BEN,FW,Brest,fr Ligue 1,26,1994,25.7,2,0,0,43,28,10,10,6,6,0,0,0,65,223,120,65.0,Matches,19ba6c6d
1858,Mason Mount,eng ENG,MF,Chelsea,eng Premier League,22,1999,26.3,4,0,0,30,23,5,153,13,16,0,0,0,107,6,31,16.2,Matches,9674002f
1859,Lucas Moura,br BRA,FWMF,Tottenham,eng Premier League,28,1992,19.7,4,0,0,20,37,3,33,18,10,0,0,0,95,48,32,60.0,Matches,2b622f01
1860,Lys Mousset,fr FRA,MFFW,Salernitana,it Serie A,25,1996,1.8,2,0,0,4,2,1,0,0,0,0,1,0,5,0,5,0.0,Matches,d9cfca3d
1861,João Moutinho,pt POR,MF,Wolves,eng Premier League,34,1986,33.0,4,0,0,36,15,0,108,34,39,0,1,0,254,15,23,39.5,Matches,f5a00fa4
1862,Samuel Moutoussamy,cd COD,MF,Nantes,fr Ligue 1,24,1996,16.8,5,0,0,33,11,0,6,17,32,0,0,0,98,10,23,30.3,Matches,af0c835b
1863,Toni Moya,es ESP,MF,Alavés,es La Liga,23,1998,15.4,2,0,0,27,10,0,81,20,10,0,1,0,99,10,20,33.3,Matches,9e098912
1864,Samuel Mráz,sk SVK,FW,Spezia,it Serie A,24,1997,0.6,0,0,0,2,0,1,0,0,0,0,0,0,4,2,3,40.0,Matches,be6c1ccc
1865,Nordi Mukiele,fr FRA,DFFW,RB Leipzig,de Bundesliga,23,1997,20.5,3,0,0,19,25,8,34,31,22,1,1,0,125,47,23,67.1,Matches,ac73ec79
1866,Mert Müldür,tr TUR,DF,Sassuolo,it Serie A,22,1999,22.7,5,0,0,24,15,0,40,24,35,0,0,0,117,9,20,31.0,Matches,1295552e
1867,Florian Müller,de GER,GK,Stuttgart,de Bundesliga,23,1997,30.0,0,0,0,0,3,0,0,0,0,0,0,0,60,7,0,100.0,Matches,cbac6ec9
1868,Thomas Müller,de GER,MF,Bayern Munich,de Bundesliga,31,1989,28.4,0,0,0,11,22,12,89,15,20,0,0,1,94,31,56,35.6,Matches,3c6089ab
1869,Bali Mumba,eng ENG,DF,Norwich City,eng Premier League,19,2001,0.5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0,Matches,2d760d7b
1870,Marshall Munetsi,zw ZIM,MFDF,Reims,fr Ligue 1,25,1996,20.9,7,0,0,39,21,2,4,43,17,1,0,0,106,59,33,64.1,Matches,2acf0cd7
1871,Iker Muniain,es ESP,MF,Athletic Club,es La Liga,28,1992,30.9,3,0,0,15,81,5,173,17,10,2,0,0,159,5,9,35.7,Matches,c05dfb74
1872,Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,23,1997,14.9,4,1,1,27,14,0,39,17,17,0,0,0,80,25,22,53.2,Matches,228b0d9d
1873,Luis Muriel,co COL,FWMF,Atalanta,it Serie A,30,1991,17.1,1,0,0,14,27,7,75,4,4,0,0,0,65,30,32,48.4,Matches,eb2fe5b6
